SMILES,KELAS,C,O,B,N,P,S,F,Cl,Br,Z,@,I,COC,=,[O-],C=C,N+,C=O,:,.,-,+,[],(),#
CCC(C)CCC(C)(CC)O,1,58,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
C=CN,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
[F-].[F-].[F-].[F-].[Sn+4],1,0,0,0,0,0,3,15,0,0,7,0,0,0,0,0,0,0,0,0,15,15,3,0,0,0
CCC[N+](C)(C)CC[N+](C)(C)CCOC.[Cl-].[Cl-],1,29,0,0,4,0,0,0,4,0,4,0,0,2,0,0,0,4,0,0,4,4,4,0,9,0
CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O.C1C(O1)CCl,1,23,6,0,0,0,0,0,2,0,15,0,0,0,4,0,8,0,0,0,2,0,0,0,10,0
CCCCCCCCC1C(O1)CCCCCCCCCCCC(=O)O,1,68,9,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0
C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,1,27,25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
COC1=CC=CC(=C1O)CC(CS(=O)(=O)[O-])OC2=C(C=C(C=C2)CCCS(=O)(=O)[O-])OC.[Na+].[Na+],1,15,11,0,2,0,2,0,0,0,7,0,0,1,8,0,3,0,0,0,2,2,2,0,10,0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,1,27,25,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO,1,51,19,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,8,0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])OC3C(C(C(C(O3)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1,9,19,0,5,0,0,0,0,0,3,0,0,0,5,0,0,5,0,0,0,5,5,0,11,0
C=CN1C2=CC=CC=C2C3=CC=CC=C31,1,14,0,0,3,0,0,0,0,0,21,0,0,0,7,0,17,0,0,0,0,0,0,0,0,0
C=CC(=O)[O-].C=CC(=O)[O-].[Zn+2],1,6,12,0,0,0,0,0,0,0,9,0,0,0,6,0,6,0,0,0,6,6,3,0,6,0
O.O.[O-]S(=O)(=O)[O-].[Ca+2],1,3,21,0,0,0,3,0,0,0,7,0,0,0,7,0,0,0,0,0,10,7,3,0,7,0
C=CC(=O)OCCOC(=O)C=C,1,10,15,0,0,0,0,0,0,0,0,0,0,5,10,0,10,0,0,0,0,0,0,0,10,0
CC(OC(=O)C)OC(=O)C,1,33,22,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,16,0
CC1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(=C(C(=C2)C)O)C(C)(C)C,1,36,6,0,0,0,0,0,0,0,5,0,0,3,10,0,0,0,0,0,0,0,0,0,14,0
CCCCCCCCCCCCCCCC(=O)OCCO,1,75,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1,35,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1,42,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)CCCCCCN(C)C.C(CBr)CBr,1,50,0,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0
CCCCCCCCCCCC(=O)OCCO,1,70,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0
CCCCCCCCCCCCCOCCO,1,76,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
CCOCC1C(C(C(C(O1)OC)OCC)OCC)OC2C(C(C(C(O2)CO)OC)O)O,1,35,19,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0
